"price","latitude","longitude","accommodates","bathrooms","bedrooms","minimum_nights","number_of_reviews","review_scores_rating","review_scores_location","review_scores_value"
29,51.39711,-0.21342,2,1,1,1,143,98,10,10
99,51.4917,-0.16183,2,1,1,2,13,91,9,9
100,51.4533,-0.15646,2,1,1,2,134,98,10,10
95,51.49494,-0.12004,2,1,1,20,90,96,10,10
133,51.53924,-0.10209,4,1,2,6,10,100,10,10
100,51.40644,-0.33563,2,1,1,3,8,91,10,10
110,51.54838,-0.16344,2,1.5,1,14,8,95,10,10
140,51.53552,-0.0628,6,1.5,2,5,72,93,10,9
116,51.52123,-0.14033,5,2,2,4,213,97,10,9
138,51.51061,-0.06646,3,1,1,5,191,94,9,9
102,51.52842,-0.11141,2,1.5,1,4,55,99,10,10
120,51.5385,-0.19255,4,1,1,90,23,93,9,9
29,51.57552,-0.06052,2,1.5,1,2,82,98,9,10
40,51.58937,-0.12274,1,1,1,1,5,100,9,10
58,51.48968,-0.11637,1,1.5,1,2,415,97,10,10
152,51.51688,-0.18513,4,2,2,4,36,98,10,10
120,51.48582,-0.19951,4,1.5,2,3,98,95,10,10
99,51.52528,-0.11521,4,1,1,3,173,94,10,10
55,51.44749,-0.43186,2,1,1,2,2,100,10,10
125,51.56822,-0.11266,5,1,1,1,86,93,9,9
116,51.49875,-0.19263,4,2,2,3,46,92,10,9
40,51.41297,-0.11367,1,1,1,2,9,100,8,10
47,51.49764,-0.01365,1,1,1,2,128,98,10,10
73,51.51074,-0.19853,2,1,1,2,346,88,10,9
78,51.48179,-0.1477,2,1,1,3,13,86,9,9
90,51.54273,-0.09948,4,1,1,6,37,97,10,10
65,51.55071,-0.08547,2,1,1,1,213,97,10,10
68,51.50178,-0.21627,5,1,2,3,24,95,10,9
75,51.41562,-0.19489,4,2,2,5,25,87,9,9
45,51.46441,-0.12669,2,1,1,2,41,97,9,9
41,51.47635,0.0128,2,1,1,4,137,91,9,9
75,51.52807,-0.05133,4,1,1,2,42,97,10,10
46,51.55786,-0.2263,2,1,1,3,70,96,9,10
49,51.52099,-0.22852,2,2,1,2,297,98,10,10
35,51.42875,-0.12056,2,1,1,2,33,97,9,9
39,51.60796,-0.12551,1,1.5,1,4,78,94,10,10
30,51.46434,-0.23728,2,2,1,2,91,89,9,9
60,51.5139,-0.29568,2,1,1,1,8,100,10,10
80,51.57419,-0.13958,3,1,1,8,34,88,9,9
74,51.47845,-0.19328,2,1,1,3,65,90,10,9
27,51.53454,0.02706,1,1.5,1,1,111,97,9,10
110,51.509,-0.19948,1,1,1,1,124,99,10,10
118,51.5468,-0.10667,4,1,1,7,73,88,10,10
55,51.52715,-0.05594,2,1,1,1,4,95,9,10
135,51.54647,-0.05664,6,1,3,1,27,90,9,9
95,51.50615,-0.1078,2,1,1,3,337,98,10,10
68,51.5333,-0.03032,5,1,2,3,64,98,9,10
93,51.52407,-0.10554,2,1,1,4,473,96,10,9
90,51.52245,-0.18275,4,1,2,2,481,98,10,9
35,51.47144,-0.08815,2,1,1,2,407,92,9,9
31,51.56739,-0.11264,2,1,1,1,7,80,9,9
423,51.54089,-0.089,4,1,2,10,5,88,8,9
135,51.54599,-0.07426,4,2,2,14,3,60,9,7
25,51.61308,-0.11829,1,1,1,5,23,98,9,10
112,51.50067,-0.23288,2,1,1,5,58,96,9,10
60,51.51643,-0.12111,2,1,1,2,229,91,10,9
99,51.52575,-0.19782,2,1,1,2,5,96,9,10
120,51.5573,-0.14269,5,1.5,2,90,201,98,10,10
135,51.53323,-0.17848,4,1.5,2,3,19,90,9,8
90,51.48974,-0.11116,3,1,1,4,123,96,10,10
130,51.50967,-0.07814,2,1,1,2,213,98,10,10
153,51.52197,-0.14035,3,1,1,3,57,94,10,9
50,51.51411,-0.0412,2,1,1,1,53,92,10,9
76,51.55719,-0.12932,2,1.5,1,1,103,95,10,10
140,51.52902,-0.08944,3,1.5,1,3,84,99,10,10
138,51.40269,-0.19177,7,1,2,1,4,95,9,8
35,51.53961,-0.0561,2,1,1,1,23,95,10,9
75,51.53058,-0.01203,3,1,1,3,43,91,9,9
28,51.50549,-0.33443,2,1.5,1,7,98,95,9,10
59,51.48128,-0.18071,2,1,1,2,45,98,9,10
99,51.58462,-0.14677,4,1,2,4,6,96,9,9
83,51.48831,-0.13829,3,1,2,2,1,100,10,10
99,51.54632,-0.07488,2,1,1,10,27,95,10,9
46,51.48847,-0.22097,4,1.5,1,2,161,94,10,10
110,51.47013,-0.04266,4,1,1,2,85,95,10,9
34,51.46788,-0.09993,2,1,1,13,83,94,9,9
50,51.51895,-0.21202,2,1,1,2,176,94,10,10
45,51.38918,-0.06793,4,1,1,2,22,96,10,10
110,51.51751,-0.19932,2,1,1,3,148,97,10,10
111,51.49185,-0.08823,4,1,2,2,10,93,8,10
60,51.49836,-0.02547,2,1,1,3,136,99,10,10
90,51.5614,-0.12198,6,1,2,2,29,95,9,9
85,51.4946,-0.19441,2,1,1,3,149,98,10,9
209,51.51691,-0.15862,2,1,1,3,17,95,10,10
50,51.52496,-0.18805,2,1.5,1,1,180,93,10,9
105,51.51762,-0.21359,2,1,1,2,52,84,9,8
89,51.52948,-0.08591,6,1,2,5,158,84,9,9
150,51.53919,-0.24072,6,1.5,2,3,15,91,8,9
45,51.55037,-0.11407,2,1,1,2,7,100,10,10
50,51.46932,-0.15277,2,1,1,2,172,97,9,10
100,51.47305,-0.18358,4,1,2,7,30,98,9,10
50,51.43855,-0.32191,2,1,1,1,167,96,10,10
69,51.49865,-0.10284,1,1,1,3,152,99,10,10
69,51.5422,-0.20218,3,1,1,2,42,97,9,10
85,51.49146,-0.27072,2,1,1,2,5,70,9,7
85,51.53566,-0.06318,4,1.5,2,3,18,96,9,9
35,51.48833,-0.18901,1,1,1,3,163,95,10,10
188,51.48606,-0.1243,3,1,1,5,9,78,10,8
39,51.5343,0.08195,1,1,1,2,27,93,9,9
35,51.51463,-0.05797,2,1,1,10,220,95,10,10
45,51.48416,-0.10375,2,1,1,1,103,91,9,9
18,51.38447,-0.12659,1,1,1,3,47,89,8,9
94,51.53462,-0.14332,4,1.5,1,4,50,92,10,9
35,51.3676,-0.12209,2,1.5,1,2,63,94,9,9
94,51.51662,-0.17332,2,1,1,7,12,96,10,10
67,51.53023,-0.19886,1,1,1,14,15,91,9,9
400,51.51164,-0.20278,4,1.5,2,5,16,100,10,10
36,51.51876,-0.20705,1,1,1,1,482,90,10,9
51,51.47973,-0.22205,6,1,3,1,210,97,10,10
65,51.52048,-0.11833,2,1,1,2,201,90,10,9
75,51.52849,-0.07731,2,1.5,1,3,135,88,9,9
180,51.5187,-0.13979,4,1,1,2,29,90,10,9
30,51.48747,-0.04066,7,1.5,1,1,22,88,8,8
75,51.48993,-0.19718,1,1,1,1,282,98,10,10
90,51.53895,-0.07748,2,1,1,7,4,90,10,10
75,51.47188,-0.18469,2,2,2,1,3,100,10,10
39,51.54826,-0.08522,1,1,1,7,34,98,9,10
140,51.52153,-0.1004,2,1,1,4,382,95,10,9
80,51.48668,-0.10513,2,1,1,3,244,96,10,10
100,51.49039,-0.19595,2,1,1,2,221,95,10,9
127,51.60477,-0.12547,4,1.5,3,3,90,92,9,9
33,51.50453,-0.10742,3,1.5,1,1,484,92,10,9
160,51.52057,-0.10572,4,2,2,3,59,95,10,9
120,51.49595,-0.2293,3,1,1,6,120,95,10,9
150,51.52111,-0.20535,4,2,2,4,17,88,9,9
170,51.51022,-0.19395,2,1,1,4,189,97,10,10
42,51.54621,-0.20833,1,1,1,3,94,94,9,9
45,51.60552,-0.14845,1,1,1,120,1,100,10,10
29,51.42864,-0.15701,2,1.5,1,3,106,94,9,9
27,51.56138,-0.11088,3,1,1,2,3,95,10,10
123,51.55306,-0.04562,6,2.5,3,5,22,98,9,10
66,51.63546,-0.11726,2,4,1,5,11,96,9,10
50,51.54216,-0.09764,1,2,1,2,139,94,10,10
500,51.52932,-0.08094,12,2,4,1,274,91,9,9
60,51.54937,-0.11814,2,1,1,1,17,80,9,8
100,51.49383,-0.12021,2,1,1,28,4,80,8,8
109,51.5527,-0.13297,6,2,3,4,2,80,10,8
100,51.55393,-0.04758,6,1.5,3,30,16,94,9,9
40,51.53302,-0.0921,1,1,1,1,20,85,10,8
300,51.55588,-0.13372,7,2.5,5,7,2,100,10,10
189,51.51753,-0.19611,8,2.5,2,1,89,90,10,9
229,51.51894,-0.19695,4,1,1,6,62,88,10,9
159,51.49825,-0.2062,6,1,2,1,104,84,9,8
172,51.49712,-0.20661,6,1,2,1,149,87,9,8
95,51.52135,-0.1087,1,1,1,3,223,97,10,9
136,51.55518,-0.07673,6,2,3,2,24,98,9,9
29,51.52333,-0.31282,1,1,1,1,345,95,10,10
25,51.42007,-0.16835,2,1,1,1,70,94,9,9
30,51.56248,-0.00646,2,1,1,3,46,99,9,10
38,51.54644,-0.10342,2,1.5,1,3,9,88,9,9
130,51.53417,-0.06552,5,1,3,5,32,94,9,9
125,51.50862,-0.12717,2,1,1,1,157,94,10,9
35,51.46938,-0.17134,1,3,2,1,159,88,10,9
70,51.51854,0.02291,5,1,2,3,29,89,8,9
156,51.44251,-0.01989,10,2,4,3,32,96,9,10
88,51.44293,-0.0201,2,1,1,3,3,100,9,9
101,51.44368,-0.02195,4,1,2,3,24,91,9,9
103,51.44177,-0.02204,5,1,2,3,15,91,9,9
85,51.44283,-0.0214,4,1,1,4,3,67,9,8
159,51.44365,-0.02287,8,2,4,3,11,96,9,9
30,51.58177,-0.07674,1,0,1,2,22,92,9,9
29,51.50423,-0.10777,2,1.5,1,1,430,93,10,9
29,51.50558,-0.32817,1,2,1,2,44,97,9,10
71,51.44267,-0.33194,3,1,1,4,47,94,10,9
30,51.53085,-0.3997,2,1,1,1,7,83,8,8
169,51.50177,-0.21433,6,1,2,1,106,91,9,9
136,51.52084,-0.20609,4,1,1,2,31,88,10,9
80,51.54046,-0.09883,3,1,2,5,43,96,10,9
78,51.5382,-0.18906,4,1,1,2,123,93,9,9
115,51.47297,-0.18298,5,2,2,3,47,91,9,9
78,51.4228,-0.17757,4,1,1,3,16,87,9,8
99,51.43958,-0.05342,5,1,2,3,62,88,9,9
31,51.4255,-0.12506,1,1.5,1,7,20,93,9,9
50,51.61598,-0.02244,3,1,1,2,17,100,9,10
172,51.51816,-0.16574,4,1,1,2,60,85,9,8
120,51.42168,-0.17803,6,2,2,4,8,83,9,8
114,51.49281,-0.30921,6,1,2,4,8,93,9,10
89,51.51553,-0.19017,2,1,1,5,6,100,10,10
149,51.49929,-0.08871,2,1,1,7,23,96,9,9
90,51.52371,-0.11496,2,1,1,14,77,99,10,10
65,51.50707,-0.24764,2,1.5,1,3,19,98,10,10
75,51.46865,-0.0433,2,1,1,2,10,98,10,9
210,51.51594,-0.19817,3,1.5,1,14,2,100,10,10
60,51.58202,-0.3768,2,1,1,3,95,98,10,10
95,51.53649,-0.20058,6,1,2,2,11,91,9,10
250,51.5115,-0.18749,4,2,2,1,25,95,10,9
200,51.50414,-0.08274,4,2,2,3,18,87,9,9
45,51.52185,0.02417,2,1,1,3,42,98,9,10
275,51.54167,-0.14058,6,2,3,2,17,91,10,9
29,51.43027,-0.12881,2,1,1,2,1,100,8,10
50,51.59228,-0.25644,2,1,1,7,110,85,8,9
54,51.48794,-0.21467,3,1,1,2,218,89,9,9
34,51.57505,0.00514,1,1,1,1,45,98,10,10
59,51.55763,-0.30246,5,1,2,1,173,93,9,10
106,51.58548,-0.07469,6,1,2,2,96,84,8,8
200,51.5835,-0.11739,6,2,3,2,57,97,9,9
40,51.48043,0.03946,1,1,1,3,11,85,8,9
32,51.47689,0.03238,1,1,1,1,16,90,8,9
140,51.5244,-0.10233,2,1,1,4,336,96,10,9
41,51.54259,0.15386,1,0,1,4,3,80,6,7
134,51.49521,-0.10013,5,1,2,5,218,91,9,9
100,51.51683,-0.16577,2,1,1,60,19,99,10,10
26,51.52344,-0.46178,2,1,1,1,88,96,10,10
179,51.52197,-0.14035,3,1,1,3,52,96,10,9
145,51.55215,-0.03855,7,1,2,2,30,97,9,10
140,51.50584,-0.02814,2,1.5,1,5,3,87,9,9
180,51.56207,-0.10059,2,1,1,1,6,96,10,10
190,51.56099,-0.0774,8,2.5,5,3,22,98,10,10
210,51.49494,-0.11211,6,2.5,3,3,175,98,10,10
34,51.49883,0.10547,2,1,1,3,242,99,9,10
35,51.46721,-0.10136,2,1,1,4,19,99,10,9
500,51.41755,-0.15309,13,2,4,2,64,98,9,9
144,51.52704,-0.08129,2,1,1,3,83,99,10,10
89,51.5329,-0.2331,3,1,1,2,10,98,9,9
26,51.60139,-0.08639,2,1,1,1,301,93,9,10
97,51.55701,-0.08336,6,1.5,3,7,7,93,9,9
32,51.52661,0.03109,2,0,1,2,6,96,8,9
140,51.47776,-0.14939,4,1,2,2,51,95,10,9
31,51.44085,-0.13348,1,1.5,1,2,76,91,9,9
50,51.48366,-0.11658,2,1.5,1,3,390,95,9,10
93,51.54462,-0.14696,3,1,1,1,33,92,10,9
29,51.61455,-0.02989,1,1,1,2,92,96,9,10
140,51.51233,-0.16783,2,1,1,7,26,98,10,9
75,51.53918,-0.14702,2,1,1,2,266,95,10,10
69,51.49709,-0.2032,1,1.5,1,2,10,94,10,9
129,51.5474,-0.20634,4,1,2,7,14,98,9,9
40,51.46811,-0.17134,2,1,1,2,166,86,10,9
99,51.53967,-0.09674,2,1,1,2,63,96,10,10
75,51.5506,-0.07698,2,1,1,7,2,100,10,10
35,51.5327,0.01228,2,1,1,2,170,98,9,10
40,51.54368,-0.17332,3,1,1,1,105,93,10,10
140,51.48864,-0.11714,6,2.5,3,14,6,93,9,9
60,51.47634,-0.15068,2,1,1,2,230,97,10,10
90,51.4619,-0.1169,4,1,1,2,25,95,9,9
30,51.50451,-0.29203,1,1.5,1,4,73,94,9,10
138,51.46958,-0.13004,2,1,1,3,126,99,10,10
40,51.48406,-0.26182,2,1,1,3,6,96,10,10
30,51.50144,-0.25678,4,2,1,1,129,91,9,9
46,51.57291,0.14562,1,1,1,5,8,98,9,10
36,51.45735,-0.01614,2,2,1,5,170,97,10,10
60,51.52249,-0.10525,2,1,1,1,166,90,10,9
20,51.52493,0.03679,2,2,1,1,429,86,9,9
57,51.55163,-0.0745,2,1,1,1,28,94,9,9
20,51.54829,0.1611,2,1,1,2,2,80,10,7
35,51.59635,-0.19098,1,1,1,3,20,98,9,10
60,51.50743,-0.22568,2,1,1,2,337,98,10,10
70,51.57034,-0.11096,2,2,1,1,4,100,9,9
20,51.40208,-0.0987,2,1.5,1,1,39,90,9,9
50,51.52864,0.00945,4,1,1,5,4,95,9,9
40,51.43343,-0.05701,1,1,1,1,4,100,9,9
25,51.41868,-0.12462,2,1.5,1,3,167,94,9,10
125,51.50137,-0.06898,4,2,2,5,4,95,10,9
80,51.53771,-0.08668,3,1,1,2,48,96,9,9
99,51.48311,-0.18428,3,1,1,5,106,95,10,9
75,51.49605,-0.06932,6,2,2,65,11,96,10,10
135,51.50062,0.03117,2,1,1,2,21,100,10,10
160,51.44166,-0.1377,7,1,3,4,29,96,9,10
30,51.44553,-0.13773,1,1,1,2,105,99,10,10
49,51.54267,-0.14519,4,1.5,1,1,85,99,10,10
250,51.544,-0.14509,9,1,3,2,40,94,10,9
120,51.52804,-0.06444,2,1,1,3,57,98,10,9
45,51.61154,-0.01863,2,1,1,2,1,100,10,10
45,51.52832,-0.10085,1,1,1,2,70,94,10,10
240,51.56956,-0.10778,6,1.5,3,2,28,97,10,9
39,51.53555,-0.11739,2,1,1,2,140,98,10,10
150,51.4908,-0.18779,4,1,2,4,108,91,10,9
29,51.46264,-0.01505,2,1,1,1,14,99,9,10
45,51.52077,0.02479,3,1,1,3,85,95,9,10
42,51.53023,-0.21417,2,1,1,2,7,89,8,9
99,51.55324,-0.22808,4,1,2,10,12,96,9,9
195,51.52907,-0.0409,4,1,2,5,34,97,9,9
61,51.51551,-0.2146,2,1,1,2,109,98,10,10
99,51.52795,-0.08272,4,1,2,3,68,93,10,9
75,51.46299,-0.22336,2,1,1,6,99,98,10,10
100,51.49907,-0.08119,4,1,2,3,170,96,10,10
100,51.50403,-0.14913,2,1,1,1,582,98,10,10
25,51.39335,0.11933,2,1,1,1,77,91,9,10
45,51.60081,-0.11489,4,1,1,4,65,99,9,10
44,51.5491,-0.18469,2,1,1,7,55,89,9,9
95,51.48622,-0.11933,2,1,1,2,251,98,10,10
67,51.55586,-0.09366,2,1,1,2,109,88,9,9
75,51.58467,0.02784,2,1,2,7,10,97,9,10
150,51.56598,-0.08578,4,1,2,5,17,100,10,10
51,51.47219,-0.18464,2,1,1,1,30,97,9,10
65,51.48734,-0.21673,3,1,2,1,269,98,10,10
85,51.53962,-0.14268,6,1.5,2,10,126,89,9,9
27,51.44036,-0.13369,1,1.5,1,2,135,93,10,9
30,51.54078,-0.0586,2,1,1,2,45,98,10,10
100,51.52919,-0.03785,4,1,1,4,5,100,10,10
80,51.42259,-0.16387,5,1,2,7,10,92,9,9
101,51.54093,-0.05371,3,1,2,4,21,96,10,10
53,51.50046,-0.11482,2,1,1,2,516,87,9,8
76,51.50195,-0.24959,2,1.5,1,5,55,99,10,10
80,51.40296,-0.25044,4,1,1,7,55,98,10,9
100,51.49819,-0.13836,3,1,1,4,74,98,10,10
111,51.48364,-0.26736,2,1,1,3,50,97,9,9
60,51.52703,-0.04058,2,1,1,2,11,96,9,9
30,51.52801,-0.04198,2,1,1,2,11,98,10,9
48,51.55149,-0.0787,2,1,1,2,122,95,10,10
70,51.48249,-0.19929,4,1,2,2,243,97,10,10
150,51.55514,-0.05649,7,1.5,4,5,9,92,9,10
129,51.45954,-0.3234,6,2,2,5,110,94,10,9
56,51.54049,-0.09041,2,1.5,1,1,8,98,10,10
30,51.54929,-0.22403,2,1,1,3,88,98,10,10
143,51.48808,-0.19523,4,1.5,2,2,265,93,10,9
66,51.44259,-0.12949,3,2,1,2,60,94,9,9
75,51.53862,-0.0991,4,1.5,1,1,435,93,10,9
39,51.55817,-0.01114,2,2,1,1,1,80,10,8
61,51.45084,-0.12378,3,3,1,2,83,96,9,10
55,51.44773,-0.12252,2,2,1,2,18,92,10,10
28,51.53547,-0.05543,1,1,1,7,75,98,10,10
70,51.53529,-0.05659,2,1,1,7,4,93,10,8
100,51.50364,-0.22161,4,1,1,2,67,94,10,9
99,51.54342,-0.13848,5,1,1,5,36,86,9,9
35,51.48593,-0.36729,1,1,1,2,7,96,9,10
34,51.42833,-0.34646,2,1,1,1,158,99,10,10
65,51.56047,-0.06469,2,1,1,1,2,90,10,8
34,51.52801,-0.05823,2,1,1,2,102,97,10,9
30,51.50331,-0.24071,1,1,1,1,49,92,9,9
35,51.5033,-0.24057,1,1,1,2,142,93,9,9
44,51.48698,-0.36862,1,1,1,3,1,60,6,2
85,51.5178,-0.2009,3,1,1,7,139,95,10,10
30,51.42577,-0.19877,1,1,1,2,17,89,10,9
35,51.59607,-0.11519,1,1,1,1,13,98,9,10
51,51.4584,-0.10664,2,1,1,2,6,93,9,9
12,51.39762,-0.1979,1,1,1,30,35,97,9,10
140,51.56054,-0.07686,7,2,4,3,12,95,10,9
36,51.53096,-0.06332,1,1,1,7,140,99,10,10
75,51.5441,-0.14007,3,1,1,3,481,97,10,10
145,51.54434,-0.13994,4,1,1,3,34,95,10,9
65,51.4879,-0.27038,2,1,1,1,32,96,10,9
28,51.51303,-0.03737,1,1,1,2,84,98,10,10
72,51.53883,-0.19502,2,1,1,2,65,96,10,10
52,51.50866,-0.01855,1,1,1,3,71,88,9,9
48,51.59708,-0.1054,2,1,1,2,15,97,9,9
28,51.57092,0.07648,2,1,1,4,19,89,9,9
49,51.52894,-0.21267,2,1,1,1,110,97,9,10
22,51.57034,-0.1461,1,1,1,3,57,95,10,9
85,51.4203,-0.23533,2,1,1,2,26,96,9,9
76,51.52145,-0.05234,3,1.5,1,4,62,92,9,9
90,51.50174,-0.08908,2,1,1,3,115,95,10,10
42,51.50742,-0.22735,1,1,1,1,193,94,10,10
54,51.47386,-0.16355,2,1,1,1,325,97,10,10
106,51.51476,-0.15813,5,2,2,1,5,100,10,10
32,51.41138,-0.17918,1,1.5,1,1,12,100,9,10
50,51.53569,-0.0775,2,1,1,2,282,97,10,10
40,51.54131,0.00376,2,1,2,1,31,93,10,10
35,51.42433,-0.30966,1,1,1,3,3,100,10,10
230,51.41575,-0.23476,8,3,4,6,3,93,9,9
33,51.46479,-0.32628,1,1,1,2,151,97,10,10
42,51.52853,-0.19559,1,1,1,3,101,99,10,10
59,51.53376,-0.14128,2,1,1,4,252,94,10,10
28,51.49343,0.01198,1,1.5,1,3,5,84,8,8
58,51.49162,-0.1433,1,1,1,5,48,96,10,9
48,51.48888,0.00457,2,1,1,1,147,98,10,10
70,51.49226,-0.14042,2,2,1,2,144,96,10,10
28,51.45512,-0.03789,2,1,1,1,87,94,9,10
25,51.4556,-0.04011,1,1,2,1,202,94,9,10
60,51.47273,-0.20289,2,1,1,2,55,97,10,10
48,51.44448,-0.19993,2,1,1,1,20,97,10,9
35,51.49954,0.08719,2,1,1,1,17,99,10,10
50,51.53164,-0.07,2,1,1,2,15,91,10,9
177,51.53919,-0.09011,8,1.5,3,1,54,89,10,9
80,51.54594,-0.13718,2,1.5,2,5,1,100,10,8
39,51.55473,-0.12151,1,1,1,14,31,93,9,9
26,51.50844,0.05878,1,1.5,1,1,287,93,10,10
35,51.45255,-0.05013,4,1,2,5,7,100,9,10
34,51.48152,-0.18193,1,1,1,2,337,99,10,10
40,51.46068,-0.18589,1,1.5,1,1,71,95,10,10
159,51.5273,-0.11032,5,1,3,3,35,90,9,9
60,51.47573,-0.20683,2,1,1,2,42,97,10,9
60,51.48127,-0.20149,2,1,1,28,1,100,10,10
64,51.45468,-0.11875,2,1,1,2,130,97,9,10
45,51.54517,-0.03103,2,1,1,1,4,90,10,10
33,51.58084,-0.1042,2,1,1,1,138,96,10,10
226,51.51778,-0.20991,7,2,3,4,19,98,10,9
58,51.56871,-0.14017,2,1,2,10,3,100,10,10
44,51.52231,-0.09144,1,1,1,3,74,98,10,10
195,51.48566,-0.18415,5,2,2,186,10,95,10,10
110,51.53001,-0.05372,6,2,2,4,8,97,9,9
60,51.40749,-0.00514,2,1,1,2,19,93,10,9
95,51.53958,-0.07892,2,1,1,2,88,93,10,9
15,51.59084,-0.02936,1,1,1,2,80,92,9,10
200,51.55039,-0.17041,5,1,1,1,52,91,10,9
45,51.5793,-0.07794,2,1.5,1,2,198,97,10,10
98,51.48781,-0.20448,6,1,2,2,39,83,9,8
75,51.5275,-0.06445,2,1,1,8,25,91,9,9
70,51.40649,-0.22979,3,1,1,30,15,94,9,9
46,51.54815,-0.36331,2,1,1,1,191,97,10,10
53,51.55465,-0.05765,2,1,1,2,66,95,10,10
70,51.54554,-0.05919,4,1,1,10,5,100,10,10
49,51.60046,0.02989,2,1,1,2,34,98,9,9
27,51.43451,-0.06481,1,1,1,3,89,96,9,10
75,51.42736,-0.1911,4,2,2,2,2,100,8,9
99,51.46216,-0.13707,2,1,1,1,51,97,10,9
50,51.56908,-0.11513,4,2,2,14,6,100,10,10
30,51.52124,-0.11307,2,1,1,30,82,94,10,9
120,51.5377,-0.00068,3,1,2,21,99,98,9,9
85,51.55194,-0.12384,2,1,1,5,206,97,10,10
115,51.51695,-0.19649,3,1,1,180,133,97,10,10
24,51.44259,-0.04576,1,2.5,1,5,7,97,10,10
500,51.55653,-0.17348,7,1,3,1,74,91,10,9
83,51.53914,-0.19899,4,1.5,2,6,44,81,8,8
95,51.52,-0.10495,2,1,1,14,23,94,10,9
191,51.49828,-0.01929,6,2,2,3,26,96,10,9
190,51.54143,-0.14646,8,1.5,2,2,75,82,9,8
30,51.53772,-0.14038,2,1,1,2,130,89,10,9
42,51.53806,-0.10077,1,1,1,6,60,97,10,10
61,51.55767,-0.11767,4,1,2,20,30,99,9,10
29,51.42389,-0.01298,2,1.5,1,1,8,100,10,10
40,51.56242,-0.08207,2,1,1,1,49,97,10,10
32,51.44057,-0.1346,1,1.5,1,2,19,84,9,8
25,51.60896,-0.29285,1,1,1,1,1,90,8,8
55,51.56948,-0.07928,2,1,1,2,68,96,9,10
18,51.38483,-0.12667,2,1,1,2,65,89,8,9
87,51.51559,-0.05684,5,1,2,3,56,92,8,9
99,51.52238,-0.10966,4,2,2,28,20,89,9,9
50,51.55816,-0.05439,2,1,1,2,9,95,10,10
50,51.5583,-0.05301,2,1,1,3,1,80,8,8
114,51.48147,-0.14934,3,1,1,3,34,98,10,9
140,51.52487,-0.08645,4,1,2,3,189,93,10,9
100,51.46673,-0.09625,5,2,2,7,18,94,9,9
120,51.54838,-0.06582,3,1,1,3,121,93,9,9
50,51.54605,-0.07513,2,1,1,3,145,99,10,10
60,51.51915,-0.20747,2,1,1,2,297,96,10,10
60,51.58716,-0.00229,2,1,1,1,80,94,10,10
